comp_id,exit,sales_log,employees_log,profit_margin,age,liquidity,foreign,female_ceo,industry,urban
3342875,0,8.68458913470639,-2.4849066199856784,0.0789473638017518,3,2.481572566333198,0,0,56,0
3372747,0,12.180089872916158,-0.415936428052814,-0.07587189970191724,9,0.5602501472194724,0,0,56,0
3615626,0,9.785704492465682,-0.2876820724517809,0.0685416703745525,12,1.827734972788139,1,0,56,1
4177013,0,11.128297260690706,-0.5154660255009657,0.07056967387952288,0,0.3752808734945336,0,1,56,1
4306666,0,8.037961962271888,-2.4849066199856784,-0.1076555025338204,20,21.194443359375,0,0,27,0
4685732,0,11.42748858644346,-1.0986122588657878,0.0462301824346897,8,1.4364755065772425,0,0,56,0
5058955,1,9.705713904406847,-2.4048638779248486,-0.17106748071910596,17,0.022137320045937398,0,1,56,0
5089205,0,9.222488548790533,-1.658228057977081,-1,7,0.11294301017924759,0,0,56,0
5219567,0,11.26051521327982,-1.0779929625398925,-0.5119893084242666,8,0.1262373982640113,0,0,56,1
5396550,1,11.248911700199812,-0.8266785731844679,-0.24928865181691093,8,3.1762296014779134,0,0,56,1
6003151,1,9.676168609381259,-2.4849066199856784,-0.851464472972192,1,0.26220614801265674,0,0,56,1
6319316,0,9.413432352510355,-2.0794415416798357,0.010278113929646794,15,15.610215016608846,0,0,33,1
6599875,0,9.345906704424257,-2.4849066199856784,0.5009702647702302,14,2.0527949685699394,0,0,55,0
7059012,0,13.531215327017746,1.319902278410357,0.026187700315205637,12,2.7035810626105703,0,0,56,0
7098623,0,9.531081045705923,-2.4849066199856784,1,5,1.2014778646835267,0,0,56,0
7830770,0,12.056970929975133,-0.5039052466920616,0.009458297527161376,1,1.401164897911857,0,0,56,1
7942535,0,16.445528512394517,3.0471644371210975,0.02691281271850644,16,3.005406408204436,1,0,28,0
8129204,1,9.466130338653606,-2.4849066199856784,-0.1866934358782799,17,0.020741394956257347,0,0,32,0
8192455,0,11.946005740111366,-2.2437445631687902,-0.11449776061932555,1,3.731376983230647,0,0,56,0
8369527,0,15.122455049467902,1.4216469042440936,1.583778848490443e-4,22,0.9462782398854489,0,0,56,0
8416055,0,11.191597196167855,-2.3307559529308435,-0.0823799848530063,17,106.05226284088288,0,1,26,1
8516875,0,9.885172710516484,-1.4144652517105059,-0.7778196951849696,5,0.15677745635857931,0,0,56,1
8613776,1,9.518097395049788,-2.4849066199856784,-0.18949087783636595,2,0.0013315579178617772,0,0,56,0
8941604,0,12.75318731551223,-1.0986122588657878,0.044574931409034325,10,1.2567648923801322,0,0,28,0
9037246,0,12.533602901001665,-0.021053388906889646,-0.10316708045066815,6,1.1130871843064891,0,0,55,1
9101233,0,11.016806017106706,-0.426518497015054,0,3,0.9071954721737224,0,1,56,1
9188538,0,10.834046399632458,-0.7556675394640098,-0.01694172632176933,20,0.5251959435573897,0,0,56,1
9421807,0,12.580747628004197,0.08004274435331715,-0.36178448861785134,12,0.5065467009943581,0,1,56,1
9650320,0,12.662676744455037,-2.4849066199856784,0.019835776315299813,9,8.090601314742495,0,0,30,1
9755598,0,13.154421723085715,0.8201469413156955,0.1873628129939852,12,0.09504641911347717,0,0,55,0
10087862,0,12.019698450379503,-1.791759439425733,-0.35079654815171535,5,0.05767812836822109,1,0,68,1
10682657,1,11.392931667066332,-0.3807724897027056,0.18286215194476146,12,4.524979221245865,0,1,29,0
